Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
TOK FM - Pierwsze Radio Informacyjne,"Płock, ul. Tartaczna 2",101.2,"19E39'33""","52N31'40""",WGS84,1.0,106.0,19.659167,52.527778,POINT (19.659167 52.527778)
TOK FM - Pierwsze Radio Informacyjne,"Płock, ul. Tartaczna 2",101.2,"19E39'33""","52N31'40""",WGS84,1.0,106.0,19.659167,52.527778,POINT (19.659167 52.527778)
Radio Impuls,"Puławy, ul. Gen. W. Sikorskiego 5",97.2,"21E59'04""","51N24'49""",WGS84,2.5118864315095806,50.0,21.984444,51.413611,POINT (21.984444 51.413611)
Radio Impuls,Kazimierz Dolny ul. Góry I/46,97.2,"21E58'06""","51N19'32""",WGS84,1.5848931924611136,89.0,21.968333,51.325556,POINT (21.968333 51.325556)
RMF MAXXX - Podlasie,"Białystok, ul. Starowiejska",97.5,"23E06'23""","53N06'39""",WGS84,0.5011872336272722,123.0,23.106389,53.110833,POINT (23.106389 53.110833)
Radio Elka Leszno,"Jarocin, ul. Węglowa 3-5",101.8,"17E29'14""","51N57'44""",WGS84,1.0,83.0,17.487222,51.962222,POINT (17.487222 51.962222)
BAYER FM,"Suwałki, ul. Bulwarowa 5",93.1,"22E55'27""","54N06'33""",WGS84,0.09999999999999998,40.0,22.924167,54.109167,POINT (22.924167 54.109167)
TOK FM - Pierwsze Radio Informacyjne,"Częstochowa, ul. Dekabrystów 41",95.8,"19E07'06""","50N49'36""",WGS84,0.6025595860743578,60.0,19.118333,50.826667,POINT (19.118333 50.826667)
Radio Wnet,"Wrocław, Pl. Grunwaldzki 30",96.8,"17E04'03""","51N06'53""",WGS84,0.09999999999999998,82.0,17.0675,51.114722,POINT (17.0675 51.114722)
Radio Ziemi Wieluńskiej,"Wieruszów, ul. A. Mickiewicza 13",97.2,"18E09'11""","51N17'41""",WGS84,0.251188643150958,25.0,18.153056,51.294722,POINT (18.153056 51.294722)
"Radio Fama 104,1 FM","Żyrardów, ul. Okrzei 54",104.1,"20E26'14""","52N03'11""",WGS84,1.0,80.0,20.437222,52.053056,POINT (20.437222 52.053056)
RADIO PARK,"Łosiów, ul. Główna 1, wieża PTK CENTERTEL",97.1,"17E33'38""","50N47'40""",WGS84,1.0,54.0,17.560556,50.794444,POINT (17.560556 50.794444)
Trendy Radio,Góra Liwocz k. Jasła,101.9,"21E21'03""","49N48'48""",WGS84,1.0,33.0,21.350833,49.813333,POINT (21.350833 49.813333)
Trendy Radio,Góra Bełchówka k. Bukowska,95.2,"22E06'53""","49N27'42""",WGS84,1.0,73.0,22.114722,49.461667,POINT (22.114722 49.461667)
Twoje Radio,"Koszalin, ul. Mieszka I 20a",94.7,"16E09'28""","54N11'39""",WGS84,0.5011872336272722,114.0,16.157778,54.194167,POINT (16.157778 54.194167)
Twoje Radio,"Stargard, ul. Nasienna 6",90.3,"15E00'18""","53N21'01""",WGS84,1.9952623149688797,90.0,15.005,53.350278,POINT (15.005 53.350278)
"Radio Pogoda 88,4 i 99,5 FM","Warszawa, Rondo ONZ 1",99.5,"20E59'50""","52N13'57""",WGS84,0.09999999999999998,165.0,20.997222,52.2325,POINT (20.997222 52.2325)
"Radio Pogoda 88,4 i 99,5 FM","Warszawa WTT, ul. Chłodna 51",99.5,"20E58'57""","52N14'07""",WGS84,0.09999999999999998,206.0,20.9825,52.235278,POINT (20.9825 52.235278)
TOK FM - Pierwsze Radio Informacyjne,"Radom, ul. Żelazna 18",104.0,"21E06'26""","51N21'19""",WGS84,0.251188643150958,107.0,21.107222,51.355278,POINT (21.107222 51.355278)
TOK FM - Pierwsze Radio Informacyjne,"Radom, ul. Żelazna 18",104.0,"21E06'26""","51N21'19""",WGS84,0.251188643150958,107.0,21.107222,51.355278,POINT (21.107222 51.355278)
TOK FM - Pierwsze Radio Informacyjne,"Radom, ul. Przytycka 2",104.0,"21E06'50""","51N24'29""",WGS84,0.251188643150958,110.0,21.113889,51.408056,POINT (21.113889 51.408056)
VOX FM Radom,"Radom, ul. Niedziałkowskiego 19/21",96.9,"21E09'32""","51N24'16""",WGS84,0.09999999999999998,63.0,21.158889,51.404444,POINT (21.158889 51.404444)
Muzyczne Radio,"Jelenia Góra, ul. Wzgórze Kościuszki 6",90.9,"15E44'19""","50N53'44""",WGS84,1.0,39.0,15.738611,50.895556,POINT (15.738611 50.895556)
"Złote Przeboje Karolina 91,2 FM","Zabrze, ul. Wolności 416",96.6,"18E48'44""","50N17'56""",WGS84,1.0,190.0,18.812222,50.298889,POINT (18.812222 50.298889)
ESKA Małopolska,Zakopane Gubałówka,106.8,"19E56'11""","49N18'29""",WGS84,0.09999999999999998,40.0,19.936389,49.308056,POINT (19.936389 49.308056)
Radio 7,"Żuromin, ul. Towarowa",88.0,"19E53'05""","53N03'52""",WGS84,0.3981071705534972,62.0,19.884722,53.064444,POINT (19.884722 53.064444)
RMF FM,"Poznań, ul. Powstańców Wielkopolskich 16",91.5,"16E55'18""","52N24'16""",WGS84,0.019952623149688792,90.0,16.921667,52.404444,POINT (16.921667 52.404444)
,"Toruń, ul. Gen. J. Bema 73/89",91.1,"18E35'19""","53N01'04""",WGS84,0.0009999999999999994,10.0,18.588611,53.017778,POINT (18.588611 53.017778)
TOK FM - Pierwsze Radio Informacyjne,"Białystok, Starosielce",93.9,"23E06'23""","53N06'38""",WGS84,0.5011872336272722,121.0,23.106389,53.110556,POINT (23.106389 53.110556)
"Radio Złote Przeboje 92,8 FM",Tarnów Lichwin Góra Wał,92.8,"20E54'42""","49N53'03""",WGS84,1.9952623149688797,45.0,20.911667,49.884167,POINT (20.911667 49.884167)
TOK FM - Pierwsze Radio Informacyjne,"Tarnowskie Góry, ul. Zagórska 173",104.3,"18E49'56""","50N27'39""",WGS84,0.30199517204020165,125.0,18.832222,50.460833,POINT (18.832222 50.460833)
Program 4 - Polskie Radio 24,Przasnysz ul. Szosa Ciechanowska 26,96.8,"20E51'43""","53N00'23""",WGS84,0.5011872336272722,73.0,20.861944,53.006389,POINT (20.861944 53.006389)
Muzyczne Radio,Wałbrzych Góra Chełmiec,106.7,"16E12'38""","50N46'45""",WGS84,0.7762471166286915,44.0,16.210556,50.779167,POINT (16.210556 50.779167)
Diecezjalne Radio Nadzieja,"Grajewo, ul. Piłsudskiego 34",93.8,"22E26'42""","53N38'30""",WGS84,0.5011872336272722,32.0,22.445,53.641667,POINT (22.445 53.641667)
Diecezjalne Radio Nadzieja,"Ostrołęka, ul. Goworowska 49",93.9,"21E34'33""","53N04'27""",WGS84,0.19952623149688797,40.0,21.575833,53.074167,POINT (21.575833 53.074167)
VOX FM Gorzów,"Gorzów Wielkopolski, ul. Energetyków 6",101.7,"15E16'17""","52N44'59""",WGS84,1.0,155.0,15.271389,52.749722,POINT (15.271389 52.749722)
Radio Maryja,"Bolesławiec, ul. Gałczyńskiego 51",88.5,"15E35'18""","51N15'53""",WGS84,0.3981071705534972,50.0,15.588333,51.264722,POINT (15.588333 51.264722)
Program 4 - Polskie Radio 24,Mielec  ul. Solskiego 1,93.9,"21E26'05""","50N17'56""",WGS84,0.5011872336272722,67.0,21.434722,50.298889,POINT (21.434722 50.298889)
"Radio Pogoda 88,4 i 99,5 FM",Warszawa LIM,88.4,"21E00'18""","52N13'39""",WGS84,0.19952623149688797,175.0,21.005,52.2275,POINT (21.005 52.2275)
"Radio Pogoda 88,4 i 99,5 FM",Warszawa ul. Chłodna 51,88.4,"20E58'57""","52N14'07""",WGS84,0.19952623149688797,206.0,20.9825,52.235278,POINT (20.9825 52.235278)
Radio JARD,"Bielsk Podlaski, ul. Kleszczelowska 84A",95.5,"23E12'00""","52N44'41""",WGS84,3.9810717055349727,50.0,23.2,52.744722,POINT (23.2 52.744722)
Radio JARD,"Bielsk Podlaski, ul. Kleszczelowska 84A",95.5,"23E12'00""","52N44'41""",WGS84,3.9810717055349727,50.0,23.2,52.744722,POINT (23.2 52.744722)
Chilli Zet,"Wejherowo, ul. Sportowa",91.6,"18E13'44""","54N35'27""",WGS84,0.19952623149688797,50.0,18.228889,54.590833,POINT (18.228889 54.590833)
Radio Maryja,Duszniki-Zdrój,105.6,"16E23'48""","50N24'26""",WGS84,0.19952623149688797,50.0,16.396667,50.407222,POINT (16.396667 50.407222)
Radio Warta FM,"Września, ul. Czerniejewska",93.7,"17E33'27""","52N20'06""",WGS84,1.9952623149688797,94.0,17.5575,52.335,POINT (17.5575 52.335)
RDN Nowy Sącz,Limanowa/Krzyż Milenijny,105.1,"20E26'25""","49N43'08""",WGS84,0.5011872336272722,30.0,20.440278,49.718889,POINT (20.440278 49.718889)
TOK FM - Pierwsze Radio Informacyjne,"Bydgoszcz, ul. Roztoczańska 2",98.5,"18E03'35""","53N10'08""",WGS84,1.0,73.0,18.059722,53.168889,POINT (18.059722 53.168889)
Program 4 - Polskie Radio 24,Kraśnik Czubówka,105.9,"22E12'11""","50N58'38""",WGS84,0.5011872336272722,87.0,22.203056,50.977222,POINT (22.203056 50.977222)
Program 4 - Polskie Radio 24,"Kraśnik, Kolonia Czubówka, dz.1062/6 Popkowice",105.9,"22E12'11""","50N58'39""",WGS84,0.5011872336272722,94.0,22.203056,50.9775,POINT (22.203056 50.9775)
"Nasze Radio 92,1 FM...  nostalgicznie!",Zduńska Wola ul. Murarska 21,92.1,"18E58'05""","51N36'00""",WGS84,3.9810717055349727,110.0,18.968056,51.6,POINT (18.968056 51.6)
Radio Kaszebe,Bytów Udorpie,104.5,"17E29'37""","54N09'13""",WGS84,0.5011872336272722,71.0,17.493611,54.153611,POINT (17.493611 54.153611)
RADIO PARK,"Opole, ul. Wschodnia 23",99.1,"17E58'33""","50N39'47""",WGS84,1.9952623149688797,103.0,17.975833,50.663056,POINT (17.975833 50.663056)
ESKA Szczecin,"Świnoujście, ul. Daszyńskiego 2",89.2,"14E14'42""","53N54'21""",WGS84,0.5011872336272722,80.0,14.245,53.905833,POINT (14.245 53.905833)
Twoje Radio,"Świnoujście, ul. Daszyńskiego 2",99.5,"14E14'42""","53N54'21""",WGS84,0.5011872336272722,80.0,14.245,53.905833,POINT (14.245 53.905833)
Płońsk,Płońsk ul. Przemysłowa 2,93.6,"20E21'40""","52N36'57""",WGS84,1.9952623149688797,72.0,20.361111,52.615833,POINT (20.361111 52.615833)
Radio Q,"Kutno, ul. Sklęczkowska 18",100.7,"19E24'30""","52N13'22""",WGS84,0.5011872336272722,130.0,19.408333,52.222778,POINT (19.408333 52.222778)
Radio Kaszebe,Lębork Czarnówko,94.9,"17E42'06""","54N34'17""",WGS84,0.5011872336272722,72.0,17.701667,54.571389,POINT (17.701667 54.571389)
Katolickie Radio Zamość,Lubaczów,101.2,"23E10'22""","50N06'04""",WGS84,1.0,54.0,23.172778,50.101111,POINT (23.172778 50.101111)
ESKA Braniewo,"Braniewo, ul. Rudłowo",100.7,"19E49'41""","54N22'05""",WGS84,1.9952623149688797,50.0,19.828056,54.368056,POINT (19.828056 54.368056)
Chilli Zet,"Hel, Port Rybacki Marina",107.8,"18E48'01""","54N36'11""",WGS84,0.5011872336272722,26.0,18.800278,54.603056,POINT (18.800278 54.603056)
TOK FM - Pierwsze Radio Informacyjne,Magdalenka k. Rzeszowa,93.6,"22E07'27""","50N00'51""",WGS84,0.19952623149688797,48.0,22.124167,50.014167,POINT (22.124167 50.014167)
Wasze Radio FM,"Mogilno, ul. Polna 1A, dz. nr 270/21",89.0,"17E57'59""","52N39'31""",WGS84,1.0,51.0,17.966389,52.658611,POINT (17.966389 52.658611)
Wasze Radio FM,"Janowiec Wielkopolski, dz. nr 543 (wieża telekom.)",99.7,"17E28'52""","52N45'13""",WGS84,1.0,62.0,17.481111,52.753611,POINT (17.481111 52.753611)
Wasze Radio FM, Gołańcz ul. Margonińska 8,105.8,"17E17'09""","52N56'33""",WGS84,1.9952623149688797,60.0,17.285833,52.9425,POINT (17.285833 52.9425)
Radio Regionalne,Dobromierz,100.0,"19E55'30""","51N00'00""",WGS84,3.0199517204020143,65.0,19.925,51.0,POINT (19.925 51)
Radio Regionalne,Plechów,97.6,"20E31'58""","50N13'23""",WGS84,0.30199517204020165,67.0,20.532778,50.223056,POINT (20.532778 50.223056)
ESKA Wrocław,"Jelenia Góra, ul. Wzgórze Kościuszki 6",90.2,"15E44'19""","50N53'44""",WGS84,0.5011872336272722,39.0,15.738611,50.895556,POINT (15.738611 50.895556)
ESKA Wrocław,"Jelenia Góra, ul. Wzgórze Kościuszki 6",90.2,"15E44'19""","50N53'44""",WGS84,0.5011872336272722,39.0,15.738611,50.895556,POINT (15.738611 50.895556)
Kujawy,"Włocławek, ul. Płocka 30/32",99.4,"19E05'55""","52N39'07""",WGS84,1.0,160.0,19.098611,52.651944,POINT (19.098611 52.651944)
RMF Classic,Włocławek Zawiśle ul. Chełmicka,91.2,"19E04'55""","52N40'21""",WGS84,0.3981071705534972,29.0,19.081944,52.6725,POINT (19.081944 52.6725)
RMF Classic,Włocławek Zawiśle ul. Chełmicka,91.2,"19E04'55""","52N40'21""",WGS84,0.3981071705534972,29.0,19.081944,52.6725,POINT (19.081944 52.6725)
Radio Regionalne,Wieluń ul. Ciepłownicza 26,101.5,"18E34'11""","51N13'52""",WGS84,0.5011872336272722,101.0,18.569722,51.231111,POINT (18.569722 51.231111)
Radio Regionalne,Wieluń ul. Ciepłownicza 26,101.5,"18E34'11""","51N13'52""",WGS84,0.5011872336272722,101.0,18.569722,51.231111,POINT (18.569722 51.231111)
Radio Ostrowiec,"Ostrowiec Świętokrzyski, ul. Samsonowicza 2",95.2,"21E26'43""","50N56'53""",WGS84,0.6025595860743578,100.0,21.445278,50.948056,POINT (21.445278 50.948056)
WAWA Trzebnica,Trzebnica ul. Obornicka 22,89.5,"17E02'08""","51N18'10""",WGS84,0.09999999999999998,40.0,17.035556,51.302778,POINT (17.035556 51.302778)
Radio ZET,"Zabrze, ul. Wolności 416",92.6,"18E48'44""","50N17'57""",WGS84,0.3981071705534972,204.0,18.812222,50.299167,POINT (18.812222 50.299167)
Radio ZET,"Zabrze, ul. Wolności 416",92.6,"18E48'44""","50N17'57""",WGS84,0.5011872336272722,175.0,18.812222,50.299167,POINT (18.812222 50.299167)
Radio Profeto,Więciórka,92.1,"19E48'46""","49N45'39""",WGS84,0.09999999999999998,14.0,19.812778,49.760833,POINT (19.812778 49.760833)
Radio Rodzina,Stara Góra,90.7,"16E31'04""","51N39'26""",WGS84,0.5011872336272722,20.0,16.517778,51.657222,POINT (16.517778 51.657222)
,"Sosnowiec, ul. Mikołajczyka 84",104.4,"19E09'14""","50N14'57""",WGS84,0.0009999999999999994,10.0,19.153889,50.249167,POINT (19.153889 50.249167)
Radio Rekord Mazowsze,"Ciechanów, ul. Tysiąclecia 18",88.7,"20E36'13""","52N51'22""",WGS84,0.5011872336272722,117.0,20.603611,52.856111,POINT (20.603611 52.856111)
Radio Radom,"Radom, ul. Kielecka 16/24",87.7,"21E07'04""","51N24'21""",WGS84,0.6025595860743578,76.0,21.117778,51.405833,POINT (21.117778 51.405833)
,"Warszawa, Most Księcia Józefa Poniatowskiego",91.5,"21E02'27""","52N14'10""",WGS84,0.0009999999999999994,6.0,21.040833,52.236111,POINT (21.040833 52.236111)
,"Zgorzelec, ul. Lubańska 9a",97.1,"15E00'52""","51N09'32""",WGS84,0.0009999999999999994,10.0,15.014444,51.158889,POINT (15.014444 51.158889)
Radio Warta FM,"Jarocin, ul. Węglowa 3/5",103.7,"17E29'52""","51N57'48""",WGS84,0.30199517204020165,83.0,17.497778,51.963333,POINT (17.497778 51.963333)
Radio SUD,"Ostrzeszów, ul. Przemysłowa 21",89.7,"17E56'13""","51N25'01""",WGS84,0.09999999999999998,40.0,17.936944,51.416944,POINT (17.936944 51.416944)
,"Katowice, Lotnisko 1",96.9,"19E02'02""","50N14'18""",WGS84,0.0009999999999999994,4.0,19.033889,50.238333,POINT (19.033889 50.238333)
Lem.fm,Jakubów,103.8,"16E00'21""","51N35'49""",WGS84,0.5011872336272722,51.0,16.005833,51.596944,POINT (16.005833 51.596944)
Program 4 - Polskie Radio 24,"Tomaszów Mazowiecki, działka nr 163/62 obręb IV",101.8,"20E02'42""","51N32'52""",WGS84,0.19952623149688797,152.0,20.045,51.547778,POINT (20.045 51.547778)
Radio eM Kielce,Błoniec,91.8,"20E48'41""","50N27'40""",WGS84,0.09999999999999998,40.0,20.811389,50.461111,POINT (20.811389 50.461111)
El Radio,"Łódź, ul. Piłsudskiego 12",90.8,"19E27'29""","51N45'40""",WGS84,0.19952623149688797,69.0,19.458056,51.761111,POINT (19.458056 51.761111)
Program 4 - Polskie Radio 24,Grajewo ul. Wiórowa 1,89.7,"22E27'47""","53N37'22""",WGS84,0.5011872336272722,92.0,22.463056,53.622778,POINT (22.463056 53.622778)
Radio Rekord FM,"Iłża, ul. Św. Franciszka działka nr 4093/2",93.4,"21E15'32""","51N09'27""",WGS84,1.0,37.0,21.258889,51.1575,POINT (21.258889 51.1575)
Radio Plus Radom,Babia Góra,97.9,"21E31'11""","51N33'22""",WGS84,1.0,67.0,21.519722,51.556111,POINT (21.519722 51.556111)
Radio Plus Radom,"Skarżysko-Kamienna Pogorzałe, ul. Główna 142",94.5,"20E50'26""","51N08'10""",WGS84,0.5011872336272722,72.0,20.840556,51.136111,POINT (20.840556 51.136111)
Radio Parada,"Opoczno, ul. Przemysłowa 5C",97.8,"20E15'24""","51N23'18""",WGS84,0.5011872336272722,74.0,20.256667,51.388333,POINT (20.256667 51.388333)
Radio Regionalne,Płock Radziwie,97.8,"19E39'32""","52N31'40""",WGS84,0.09999999999999998,93.0,19.658889,52.527778,POINT (19.658889 52.527778)
Radio Profeto,Limanowa Góra Miejska,100.3,"20E26'25""","49N43'08""",WGS84,0.5011872336272722,30.0,20.440278,49.718889,POINT (20.440278 49.718889)
Program 1,Gorzów Wielkopolski ul. Energetyków 6,89.3,"15E16'17""","52N44'59""",WGS84,0.09999999999999998,153.0,15.271389,52.749722,POINT (15.271389 52.749722)
Program 2,Gorzów Wielkopolski ul. Energetyków 6,90.7,"15E16'17""","52N44'59""",WGS84,0.09999999999999998,113.0,15.271389,52.749722,POINT (15.271389 52.749722)
Program 3,"Gorzów Wielkopolski, ul. Energetyków 6",91.6,"15E16'17""","52N44'59""",WGS84,0.09999999999999998,153.0,15.271389,52.749722,POINT (15.271389 52.749722)
Radio Wielkopolska,Wagowo,90.1,"17E20'57""","52N25'34""",WGS84,1.0,63.0,17.349167,52.426111,POINT (17.349167 52.426111)
Radio Wielkopolska,Wagowo,90.1,"17E20'57""","52N25'34""",WGS84,1.0,63.0,17.349167,52.426111,POINT (17.349167 52.426111)
Radio Wielkopolska,"Bolechowo, ul. Przemysłowa 1",95.9,"16E58'56""","52N32'57""",WGS84,1.0,95.0,16.982222,52.549167,POINT (16.982222 52.549167)
Radio Wielkopolska,"Bolechowo, ul. Przemysłowa 1",95.9,"16E58'56""","52N32'57""",WGS84,1.0,95.0,16.982222,52.549167,POINT (16.982222 52.549167)
Radio Wielkopolska,Chrustowo,89.0,"16E47'09""","53N01'49""",WGS84,1.0,86.0,16.785833,53.030278,POINT (16.785833 53.030278)
Radio Wielkopolska,Chrustowo,89.0,"16E47'09""","53N01'49""",WGS84,0.5623413251903491,86.0,16.785833,53.030278,POINT (16.785833 53.030278)
Radio Wielkopolska,Otorowo,99.1,"16E26'19""","52N33'55""",WGS84,0.7079457843841379,54.0,16.438611,52.565278,POINT (16.438611 52.565278)
Radio Wielkopolska,Otorowo,99.1,"16E26'19""","52N33'55""",WGS84,0.7079457843841379,54.0,16.438611,52.565278,POINT (16.438611 52.565278)
Radio Wielkopolska,Kuźnica Czarnkowska,91.6,"16E30'44""","52N57'40""",WGS84,0.5011872336272722,52.0,16.512222,52.961111,POINT (16.512222 52.961111)
Radio Wielkopolska,Kuźnica Czarnkowska,91.6,"16E30'44""","52N57'40""",WGS84,0.5011872336272722,52.0,16.512222,52.961111,POINT (16.512222 52.961111)
Program 4 - Polskie Radio 24,Oświęcim ul. Chemików 1,92.0,"19E16'26""","50N02'24""",WGS84,0.09999999999999998,120.0,19.273889,50.04,POINT (19.273889 50.04)
Radio Plus Olsztyn,"Ostróda, ul. J. Poniatowskiego 3",105.2,"19E58'30""","53N41'20""",WGS84,0.251188643150958,68.0,19.975,53.688889,POINT (19.975 53.688889)
Radio Plus Olsztyn,"Szczytno, ul. Gnieźnieńska 2",104.3,"20E58'27""","53N33'52""",WGS84,0.19952623149688797,50.0,20.974167,53.564444,POINT (20.974167 53.564444)
Radio eM Kielce,"Kielce Św. Krzyż,  Nowa Słupia",91.3,"21E02'55""","50N51'38""",WGS84,0.5011872336272722,81.0,21.048611,50.860556,POINT (21.048611 50.860556)
Radio eM Kielce,"Dobromierz, dz. nr 356",94.4,"19E55'30""","51N00'00""",WGS84,0.5011872336272722,58.0,19.925,51.0,POINT (19.925 51)
SuperNova 106 FM,Konin Brzezińskie Holendry,106.0,"18E20'23""","52N11'23""",WGS84,0.5011872336272722,52.0,18.339722,52.189722,POINT (18.339722 52.189722)
SuperNova 106 FM,Konin Brzezińskie Holendry,106.0,"18E20'23""","52N11'23""",WGS84,0.5011872336272722,52.0,18.339722,52.189722,POINT (18.339722 52.189722)
Program 4 - Polskie Radio 24,"Biała Podlaska, ul. Solidarności 4",99.7,"23E11'16""","52N02'17""",WGS84,0.19952623149688797,65.0,23.187778,52.038056,POINT (23.187778 52.038056)
Program 4 - Polskie Radio 24,"Bielsko-Biała, ul. Cieszyńska 79",96.4,"19E01'55""","49N49'02""",WGS84,1.0,45.0,19.031944,49.817222,POINT (19.031944 49.817222)
Program 4 - Polskie Radio 24,"Bielsko-Biała, ul. Armii Krajowej 220",96.4,"19E01'34""","49N47'02""",WGS84,1.0,33.0,19.026111,49.783889,POINT (19.026111 49.783889)
Program 4 - Polskie Radio 24,"Gdynia, ul. Pucka 118",100.6,"18E28'51""","54N33'12""",WGS84,0.5011872336272722,132.0,18.480833,54.553333,POINT (18.480833 54.553333)
Program 4 - Polskie Radio 24,"Gdynia, ul. Pucka 118",100.6,"18E28'51""","54N33'12""",WGS84,0.5011872336272722,148.0,18.480833,54.553333,POINT (18.480833 54.553333)
Program 4 - Polskie Radio 24,"Gniezno, ul. Spichrzowa 18",100.5,"17E36'50""","52N33'20""",WGS84,0.5011872336272722,98.0,17.613889,52.555556,POINT (17.613889 52.555556)
Program 4 - Polskie Radio 24,"Kamieńsk, Góra Kamieńsk",102.0,"19E26'07""","51N12'21""",WGS84,0.30199517204020165,23.0,19.435278,51.205833,POINT (19.435278 51.205833)
Program 4 - Polskie Radio 24,"Konin, ul. 11 Listopada 17/33a",90.3,"18E16'19""","52N13'49""",WGS84,0.19952623149688797,50.0,18.271944,52.230278,POINT (18.271944 52.230278)
Program 4 - Polskie Radio 24,Czarnorzeki,106.9,"21E48'46""","49N45'22""",WGS84,0.5011872336272722,76.0,21.812778,49.756111,POINT (21.812778 49.756111)
Program 4 - Polskie Radio 24,Łomża Szosa Zambrowska,105.2,"22E05'39""","53N09'40""",WGS84,0.5011872336272722,71.0,22.094167,53.161111,POINT (22.094167 53.161111)
Program 4 - Polskie Radio 24,Mława Szydłówek,104.5,"20E25'06""","53N05'42""",WGS84,1.0,83.0,20.418333,53.095,POINT (20.418333 53.095)
Program 4 - Polskie Radio 24,"Nysa, ul.Kolejowa",105.4,"17E20'26""","50N28'43""",WGS84,1.0,74.0,17.340556,50.478611,POINT (17.340556 50.478611)
Program 4 - Polskie Radio 24,"64-920 Piła, ul. Masztowa",94.3,"16E44'43""","53N07'32""",WGS84,0.251188643150958,69.0,16.745278,53.125556,POINT (16.745278 53.125556)
Program 4 - Polskie Radio 24,"Piła, ul. Masztowa",94.3,"16E44'43""","53N07'32""",WGS84,0.251188643150958,69.0,16.745278,53.125556,POINT (16.745278 53.125556)
Program 4 - Polskie Radio 24,"Płock, ul. Tartaczna 2",99.7,"19E39'33""","52N31'40""",WGS84,0.19952623149688797,102.0,19.659167,52.527778,POINT (19.659167 52.527778)
Program 4 - Polskie Radio 24,"Puławy, ul. Słowackiego 2",98.5,"21E58'56""","51N25'23""",WGS84,0.5011872336272722,56.0,21.982222,51.423056,POINT (21.982222 51.423056)
Program 4 - Polskie Radio 24,"Skarżysko-Kamienna, ul. 11 Listopada 7",90.0,"20E52'47""","51N06'28""",WGS84,1.0,105.0,20.879722,51.107778,POINT (20.879722 51.107778)
Program 4 - Polskie Radio 24,"Stargard, ul. Nasienna 6",93.6,"15E00'18""","53N21'01""",WGS84,1.0,80.0,15.005,53.350278,POINT (15.005 53.350278)
Program 4 - Polskie Radio 24,"Świnoujście, ul. Chrobrego 33",93.5,"14E15'33""","53N55'01""",WGS84,0.19952623149688797,65.0,14.259167,53.916944,POINT (14.259167 53.916944)
Program 4 - Polskie Radio 24,"Tarnobrzeg Machów, ul. Zakładowa",88.9,"21E38'19""","50N31'27""",WGS84,0.5011872336272722,130.0,21.638611,50.524167,POINT (21.638611 50.524167)
Program 4 - Polskie Radio 24,"Rokitki, ul. Tczewska 10",99.4,"18E44'38""","54N04'56""",WGS84,0.30199517204020165,72.0,18.743889,54.082222,POINT (18.743889 54.082222)
Program 4 - Polskie Radio 24,"Włocławek, ul. Dobrzyńska 26",102.8,"19E05'40""","52N40'21""",WGS84,0.19952623149688797,83.0,19.094444,52.6725,POINT (19.094444 52.6725)
Program 4 - Polskie Radio 24,"Zakopane, ul. Droga Stanisława Zubka 1",103.8,"19E56'11""","49N18'29""",WGS84,0.5011872336272722,64.0,19.936389,49.308056,POINT (19.936389 49.308056)
Program 4 - Polskie Radio 24,"Zakopane, ul. Droga Stanisława Zubka 1",103.8,"19E56'11""","49N18'29""",WGS84,0.5011872336272722,64.0,19.936389,49.308056,POINT (19.936389 49.308056)
Super FM Szczecin,"Szczecin, Pl. Rodła 8",97.5,"14E33'19""","53N26'00""",WGS84,1.0,100.0,14.555278,53.433333,POINT (14.555278 53.433333)
Super FM Szczecin,"Szczecin, Pl. Rodła 8",97.5,"14E33'19""","53N26'00""",WGS84,1.0,100.0,14.555278,53.433333,POINT (14.555278 53.433333)
Radio Plus Olsztyn,"Bartoszyce, ul. Zbożowa 8",94.2,"20E48'13""","54N15'55""",WGS84,0.19952623149688797,50.0,20.803611,54.265278,POINT (20.803611 54.265278)
Radio Plus Olsztyn,"Kętrzyn, ul. Klonowa 8",96.4,"21E21'14""","54N04'31""",WGS84,0.19952623149688797,55.0,21.353889,54.075278,POINT (21.353889 54.075278)
Radio Plus Olsztyn,"Mrągowo, ul. Spacerowa 2",101.1,"21E17'52""","53N52'00""",WGS84,0.19952623149688797,84.0,21.297778,53.866667,POINT (21.297778 53.866667)
Festiwalowe Radio Opole,"Opole, ul. Piastowska",96.5,"17E55'18""","50N39'52""",WGS84,0.050118723362727206,41.0,17.921667,50.664444,POINT (17.921667 50.664444)
Wasze Radio FM,"Gniezno, ul. Zacisze 2-10",96.8,"17E34'47""","52N30'35""",WGS84,0.30199517204020165,65.0,17.579722,52.509722,POINT (17.579722 52.509722)
Konin FM,"Konin, ul. Fryderyka Chopina 14B",104.1,"18E15'38""","52N13'56""",WGS84,0.09999999999999998,46.0,18.260556,52.232222,POINT (18.260556 52.232222)
Radio Sudety 24,"Strzegom, ul. Mostowa 7",101.7,"16E21'19""","50N58'27""",WGS84,0.09999999999999998,45.0,16.355278,50.974167,POINT (16.355278 50.974167)
Fama,"Kielce, ul. Hubalczyków 30",90.9,"20E36'58""","50N53'53""",WGS84,0.19952623149688797,215.0,20.616111,50.898056,POINT (20.616111 50.898056)
