Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
Radio PLUS Koszalin,Koszalin Chełmska Góra,102.6,"16E13'27""","54N12'26""",WGS84,1.0,34.0,16.224167,54.207222,POINT (16.224167 54.207222)
RMF FM,Koszalin G. Chełmska,104.9,"16E13'35""","54N12'14""",WGS84,1.0,46.0,16.226389,54.203889,POINT (16.226389 54.203889)
Radio Maryja,Koszalin Góra Chełmska,107.4,"16E13'27""","54N12'26""",WGS84,1.0,34.0,16.224167,54.207222,POINT (16.224167 54.207222)
RMF FM,Kraków Chorągwica,96.0,"20E04'57""","49N57'24""",WGS84,60.255958607435765,203.0,20.0825,49.956667,POINT (20.0825 49.956667)
Program Regionalny,Kraków Chorągwica,101.6,"20E04'57""","49N57'24""",WGS84,60.255958607435765,199.0,20.0825,49.956667,POINT (20.0825 49.956667)
Program Regionalny,Kraków ul. Malczewskiego 45,101.6,"19E54'06""","50N03'01""",WGS84,1.0,117.0,19.901667,50.050278,POINT (19.901667 50.050278)
Radio ZET,Kraków Chorągwica,104.1,"20E04'57""","49N57'24""",WGS84,60.255958607435765,203.0,20.0825,49.956667,POINT (20.0825 49.956667)
Radio ZET,Kraków Chorągwica,104.1,"20E04'57""","49N57'24""",WGS84,60.255958607435765,203.0,20.0825,49.956667,POINT (20.0825 49.956667)
Radio PLUS Kraków,Kraków Chorągwica,106.1,"20E04'57""","49N57'24""",WGS84,10.000000000000002,203.0,20.0825,49.956667,POINT (20.0825 49.956667)
Program 2,Muszyna,89.6,"20E53'43""","49N25'02""",WGS84,0.09999999999999998,34.0,20.895278,49.417222,POINT (20.895278 49.417222)
Program 3,"Gorlice, ul. Chopina 33",91.6,"21E10'57""","49N40'38""",WGS84,0.19952623149688797,137.0,21.1825,49.677222,POINT (21.1825 49.677222)
Radio Regionalne,Gorlice,97.4,"21E10'57""","49N40'38""",WGS84,10.000000000000002,110.0,21.1825,49.677222,POINT (21.1825 49.677222)
Radio Maryja,Krosno Czarnorzeki,100.6,"21E49'58""","49N44'20""",WGS84,10.000000000000002,57.0,21.832778,49.738889,POINT (21.832778 49.738889)
Radio Maryja,Tarnów Tuchów Lubaszowa gm. Jodłówka Tuchowska,102.6,"21E02'48""","49N50'56""",WGS84,10.000000000000002,47.0,21.046667,49.848889,POINT (21.046667 49.848889)
Lem.fm,"Gorlice, ul. Chopina 33",106.6,"21E10'57""","49N40'38""",WGS84,0.19952623149688797,156.0,21.1825,49.677222,POINT (21.1825 49.677222)
Program 2,Nowe Skórowo,88.2,"17E29'54""","54N29'42""",WGS84,10.000000000000002,59.0,17.498333,54.495,POINT (17.498333 54.495)
Radio Regionalne,Skórowo Nowe,91.1,"17E30'00""","54N29'44""",WGS84,10.000000000000002,59.0,17.5,54.495556,POINT (17.5 54.495556)
Radio Regionalne,Skórowo Nowe,91.1,"17E30'00""","54N29'44""",WGS84,10.000000000000002,90.0,17.5,54.495556,POINT (17.5 54.495556)
Radio ZET,Lębork Skórowo,96.6,"17E30'00""","54N29'44""",WGS84,10.000000000000002,59.0,17.5,54.495556,POINT (17.5 54.495556)
Radio ZET,Lębork Skórowo,96.6,"17E30'00""","54N29'44""",WGS84,10.000000000000002,59.0,17.5,54.495556,POINT (17.5 54.495556)
Radio Maryja,Szymbark,102.4,"18E07'39""","54N12'39""",WGS84,1.0,40.0,18.1275,54.210833,POINT (18.1275 54.210833)
